hostname,n_planets,avg_radius_earth,avg_mass_earth,sy_dist,ra,dec
Kepler-295,3,1.25,2.0366666666666666,1699.19,285.3458383,45.3677754
Kepler-339,3,1.2466666666666666,8.200000000000001,616.637,293.351701,48.4445922
Kepler-124,3,1.1966666666666665,1.8116666666666668,420.046,286.7527322,49.0648788
GJ 1061,3,1.1466666666666667,1.5833333333333333,3.67278,54.0032486,-44.5143104
Kepler-374,3,1.1466666666666667,1.5733333333333335,1265.61,294.1378921,42.3704075
Kepler-332,3,1.1466666666666665,1.5966666666666667,344.19,286.6627811,47.4136938
K2-239,3,1.0666666666666667,1.2373333333333334,31.0849,160.5941265,4.4413751
Kepler-381,3,1.0589288333333335,1.2089999999999999,267.323,285.1828685,43.8310283
Teegarden's Star,3,1.008,1.01,3.83078,43.2691449,16.8649024
YZ Cet,3,0.9976666666666668,0.9766666666666666,3.71207,18.1330792,-16.9962434
Kepler-352,3,0.9687601066666667,1.0283333333333333,252.733,299.8966237,46.0519022
Kepler-271,3,0.9466666666666667,1.0226666666666666,404.542,283.0029316,44.284108
Kepler-398,3,0.9400000000000001,0.7913333333333333,177.355,291.4688524,40.3437001
LHS 1678,3,0.8689999999999999,0.8856666666666667,19.8782,68.1789866,-39.7908744
Kepler-431,3,0.8473333333333334,0.6696666666666666,486.546,281.1123072,43.2277663
Kepler-1130,3,0.7457061899999999,0.35366666666666663,249.343,285.207421,45.384333
Kepler-42,3,0.6933333333333334,20.46690966666667,40.0595,292.2196,44.6173667
KIC 10001893,3,,,1672.94,287.3892308,46.9844491
HD 7924,3,,1796.3661563633334,16.9922,20.4956562,76.7101475
bet Pic,2,15.497425,3475.1358021349997,19.7442,86.8212337,-51.066148
HD 206893,2,15.188168845,6467.808082449999,40.7583,326.3416874,-12.7833522
TOI-2295,2,14.638600815,1030.558609695,126.279,281.5761962,50.4924657
GJ 3512,2,14.3,145.24758200000002,9.48637,130.3316616,59.4918364
HIP 65407,2,14.100000000000001,192.60498,61.7804,201.087663,48.8847322
HD 207832,2,14.1,205.00035,58.9291,328.1517893,-26.0271749
HD 133131 A,2,13.95,292.4036,51.4736,225.8984524,-27.8431369
HD 155358,2,13.850000000000001,287.82585,43.6197,257.3930947,33.3549277
GJ 849,2,13.850000000000001,299.23544519,8.80058,332.4229938,-4.6408317
HD 83443,2,13.85,302.254815055,40.8991,144.2994103,-43.272721
HIP 111909,2,13.8,321.00669107,88.077,340.0304354,-49.5985391
KELT-6,2,13.78585,672.21045,240.726,195.9818362,30.640145
HD 9446,2,13.7,400.449,50.3503,23.3350424,29.2649187
HD 108874,2,13.7,382.97929999999997,59.5175,187.6126029,22.8794399
HD 134987,2,13.7,385.85315,26.1804,228.3675397,-25.3096721
HD 187123,2,13.7,539.192764045,45.9548,296.7428786,34.41899
24 Sex,2,13.65,452.89,72.0691,155.8684866,-0.9023998
